freq	mag	phase
7112940351.79	-33.4641304016	177.321472168
7112940551.79	-33.3733634949	175.664611816
7112940751.79	-33.2829742432	174.079620361
7112940951.79	-33.2026252747	172.715698242
7112941151.79	-33.1108818054	171.152160645
7112941351.79	-33.0248184204	169.702438354
7112941551.79	-32.9448661804	168.314956665
7112941751.79	-32.8555717468	166.826248169
7112941951.79	-32.7840194702	165.6222229
7112942151.79	-32.6991271973	164.20362854
7112942351.79	-32.6267280579	162.983413696
7112942551.79	-32.5468482971	161.676559448
7112942751.79	-32.4721450806	160.401489258
7112942951.79	-32.3967971802	159.129776001
7112943151.79	-32.3263931274	158.013076782
7112943351.79	-32.2536430359	156.816375732
7112943551.79	-32.1832809448	155.651916504
7112943751.79	-32.1221656799	154.591781616
7112943951.79	-32.0533752441	153.483551025
7112944151.79	-31.9818096161	152.325286865
7112944351.79	-31.9196796417	151.336471558
7112944551.79	-31.8532066345	150.249511719
7112944751.79	-31.7993202209	149.328384399
7112944951.79	-31.7368488312	148.310516357
7112945151.79	-31.6748104095	147.258712769
7112945351.79	-31.6172161102	146.302246094
7112945551.79	-31.5684185028	145.506484985
7112945751.79	-31.5048503876	144.471557617
7112945951.79	-31.4497699738	143.544723511
7112946151.79	-31.3979454041	142.652526855
7112946351.79	-31.3529453278	141.872787476
7112946551.79	-31.2977485657	140.95111084
7112946751.79	-31.2492275238	140.17137146
7112946951.79	-31.2056732178	139.383224487
7112947151.79	-31.1584758759	138.552856445
7112947351.79	-31.1131496429	137.804168701
7112947551.79	-31.0691814423	137.027282715
7112947751.79	-31.0244541168	136.255279541
7112947951.79	-30.9798908234	135.480041504
7112948151.79	-30.9421787262	134.793243408
7112948351.79	-30.8987483978	134.041702271
7112948551.79	-30.8584671021	133.338607788
7112948751.79	-30.8216533661	132.661376953
7112948951.79	-30.7861328125	131.989776611
7112949151.79	-30.7465438843	131.274887085
7112949351.79	-30.7089862823	130.622650146
7112949551.79	-30.6722068787	129.933578491
7112949751.79	-30.640499115	129.336761475
7112949951.79	-30.6060428619	128.718688965
7112950151.79	-30.5748462677	128.107513428
7112950351.79	-30.5430850983	127.524238586
7112950551.79	-30.5122318268	126.948028564
7112950751.79	-30.4828643799	126.354553223
7112950951.79	-30.4553337097	125.842216492
7112951151.79	-30.4205951691	125.204673767
7112951351.79	-30.3943500519	124.677429199
7112951551.79	-30.3673591614	124.127189636
7112951751.79	-30.3358020782	123.539993286
7112951951.79	-30.3113803864	123.033332825
7112952151.79	-30.2865943909	122.554969788
7112952351.79	-30.2561340332	121.979286194
7112952551.79	-30.2325611115	121.474884033
7112952751.79	-30.2070503235	120.951858521
7112952951.79	-30.1823558807	120.461898804
7112953151.79	-30.1591205597	119.988265991
7112953351.79	-30.1364135742	119.527740479
7112953551.79	-30.1154403687	119.103790283
7112953751.79	-30.092918396	118.645195007
7112953951.79	-30.0740394592	118.202514648
7112954151.79	-30.0506305695	117.736694336
7112954351.79	-30.0288848877	117.308036804
7112954551.79	-30.0097751617	116.870368958
7112954751.79	-29.9900131226	116.465042114
7112954951.79	-29.9710769653	116.023330688
7112955151.79	-29.9527664185	115.641098022
7112955351.79	-29.9347457886	115.230293274
7112955551.79	-29.9151096344	114.783607483
7112955751.79	-29.8980789185	114.365966797
7112955951.79	-29.8792762756	113.969696045
7112956151.79	-29.8629131317	113.609535217
7112956351.79	-29.845741272	113.224334717
7112956551.79	-29.8300285339	112.832984924
7112956751.79	-29.8144760132	112.469009399
7112956951.79	-29.7985687256	112.11681366
7112957151.79	-29.7815341949	111.726341248
7112957351.79	-29.7651786804	111.347503662
7112957551.79	-29.7504177094	111.037971497
7112957751.79	-29.737405777	110.697219849
7112957951.79	-29.7211151123	110.35735321
7112958151.79	-29.7078323364	110.023330688
7112958351.79	-29.6969413757	109.721611023
7112958551.79	-29.683921814	109.410339355
7112958751.79	-29.6686267853	109.068977356
7112958951.79	-29.6563796997	108.746902466
7112959151.79	-29.6432304382	108.403335571
7112959351.79	-29.631652832	108.138656616
7112959551.79	-29.6204032898	107.823356628
7112959751.79	-29.6069107056	107.5184021
7112959951.79	-29.5953388214	107.201972961
7112960151.79	-29.5831317902	106.917694092
7112960351.79	-29.5739021301	106.638137817
7112960551.79	-29.5603084564	106.328033447
7112960751.79	-29.5516147614	106.050346375
7112960951.79	-29.5401935577	105.768669128
7112961151.79	-29.5289783478	105.47467041
7112961351.79	-29.5183124542	105.217750549
7112961551.79	-29.5076732635	104.963874817
7112961751.79	-29.4981689453	104.685142517
7112961951.79	-29.4886188507	104.417533875
7112962151.79	-29.4794845581	104.168746948
7112962351.79	-29.4704017639	103.924591064
7112962551.79	-29.4610939026	103.660041809
7112962751.79	-29.4517192841	103.416282654
7112962951.79	-29.4432506561	103.172599792
7112963151.79	-29.4336585999	102.915756226
7112963351.79	-29.4238929749	102.665168762
7112963551.79	-29.4152946472	102.410377502
7112963751.79	-29.407497406	102.177383423
7112963951.79	-29.3989219666	101.935676575
7112964151.79	-29.3931102753	101.713623047
7112964351.79	-29.3840446472	101.508033752
7112964551.79	-29.3753509521	101.274932861
7112964751.79	-29.3675117493	101.065917969
7112964951.79	-29.3609313965	100.841255188
7112965151.79	-29.3530654907	100.618225098
7112965351.79	-29.3464336395	100.397903442
7112965551.79	-29.3387184143	100.192245483
7112965751.79	-29.3313159943	99.9787826538
7112965951.79	-29.3240680695	99.7603530884
7112966151.79	-29.3187103271	99.5674057007
7112966351.79	-29.3104038239	99.3256835938
7112966551.79	-29.3049411774	99.1575241089
7112966751.79	-29.2975254059	98.9616088867
7112966951.79	-29.29180336	98.7493591309
7112967151.79	-29.284986496	98.5568237305
7112967351.79	-29.2794017792	98.3647232056
7112967551.79	-29.2726421356	98.1539993286
7112967751.79	-29.2661838531	97.9649734497
7112967951.79	-29.2600288391	97.7969894409
7112968151.79	-29.2558269501	97.6447143555
7112968351.79	-29.2499752045	97.4524459839
7112968551.79	-29.2453022003	97.2811050415
7112968751.79	-29.2385616302	97.0701599121
7112968951.79	-29.2327194214	96.8921356201
7112969151.79	-29.2274570465	96.7140884399
7112969351.79	-29.2226772308	96.5478897095
7112969551.79	-29.2166023254	96.3553161621
7112969751.79	-29.2117080688	96.1945800781
7112969951.79	-29.2060184479	96.0274429321
7112970151.79	-29.2024688721	95.872505188
7112970351.79	-29.1971282959	95.7041854858
7112970551.79	-29.191116333	95.5210342407
7112970751.79	-29.1867809296	95.3535003662
7112970951.79	-29.181016922	95.2219772339
7112971151.79	-29.1773490906	95.0492172241
7112971351.79	-29.172296524	94.8775863647
7112971551.79	-29.1677970886	94.7388916016
7112971751.79	-29.1637401581	94.5770111084
7112971951.79	-29.1579742432	94.4201202393
7112972151.79	-29.1546440125	94.2627716064
7112972351.79	-29.150636673	94.1110305786
7112972551.79	-29.1462879181	93.9831466675
7112972751.79	-29.1428947449	93.8402252197
7112972951.79	-29.1397857666	93.685874939
7112973151.79	-29.1339092255	93.5384674072
7112973351.79	-29.1303596497	93.3998794556
7112973551.79	-29.1263179779	93.2400360107
7112973751.79	-29.1232681274	93.1196136475
7112973951.79	-29.1195087433	92.9893112183
7112974151.79	-29.1146831512	92.841293335
7112974351.79	-29.1118297577	92.7020797729
7112974551.79	-29.1077423096	92.5562667847
7112974751.79	-29.1055641174	92.4065170288
7112974951.79	-29.1019954681	92.3015365601
7112975151.79	-29.0970172882	92.1622695923
7112975351.79	-29.0922546387	92.0345611572
7112975551.79	-29.0895709991	91.9001235962
7112975751.79	-29.0866203308	91.7699661255
7112975951.79	-29.0832939148	91.6366043091
7112976151.79	-29.0810985565	91.5446090698
7112976351.79	-29.077703476	91.4200439453
7112976551.79	-29.0735569	91.2852020264
7112976751.79	-29.0710048676	91.1828765869
7112976951.79	-29.0680656433	91.0568313599
7112977151.79	-29.0649929047	90.9418869019
7112977351.79	-29.0614242554	90.8108520508
7112977551.79	-29.0575656891	90.6791610718
7112977751.79	-29.0541229248	90.548248291
7112977951.79	-29.05210495	90.4298095703
7112978151.79	-29.0500869751	90.3356704712
7112978351.79	-29.0456295013	90.2152786255
7112978551.79	-29.0414524078	90.0981826782
7112978751.79	-29.0398960114	89.9874420166
7112978951.79	-29.0376052856	89.8669586182
7112979151.79	-29.0351257324	89.7706069946
7112979351.79	-29.0314216614	89.6592178345
7112979551.79	-29.0295543671	89.5618286133
7112979751.79	-29.0273132324	89.4590301514
7112979951.79	-29.0245571136	89.3369827271
7112980151.79	-29.022108078	89.2261352539
7112980351.79	-29.0186595917	89.1377563477
7112980551.79	-29.0174312592	89.0398101807
7112980751.79	-29.0136165619	88.9458084106
7112980951.79	-29.0119419098	88.8277282715
7112981151.79	-29.010591507	88.7223358154
7112981351.79	-29.0085849762	88.625793457
7112981551.79	-29.0049781799	88.524810791
7112981751.79	-29.0038719177	88.4309539795
7112981951.79	-28.9999523163	88.3362426758
7112982151.79	-28.9971370697	88.2193069458
7112982351.79	-28.9951400757	88.1351470947
7112982551.79	-28.9943256378	88.0488128662
7112982751.79	-28.9916267395	87.9335403442
7112982951.79	-28.990032196	87.8511962891
7112983151.79	-28.9867687225	87.747833252
7112983351.79	-28.9849834442	87.6607208252
7112983551.79	-28.9839553833	87.5676727295
7112983751.79	-28.9811935425	87.4755630493
7112983951.79	-28.9777202606	87.3772888184
7112984151.79	-28.9758930206	87.2980117798
7112984351.79	-28.9738864899	87.2104949951
7112984551.79	-28.9727306366	87.1030654907
7112984751.79	-28.9708786011	87.0149078369
7112984951.79	-28.9685821533	86.9465332031
7112985151.79	-28.9666900635	86.845489502
7112985351.79	-28.9654083252	86.7677001953
7112985551.79	-28.9634037018	86.6886062622
7112985751.79	-28.9617195129	86.5867996216
7112985951.79	-28.9602642059	86.5100860596
7112986151.79	-28.9576091766	86.4353103638
